Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.6080592,0.0785995,0.07493204,1.7809956,0.00029787328,0.0,0.0008751338173169643,992.125,0.0008751219138503075
15000,1.6018963,0.063060224,0.06855379,1.7692608,0.00029637088,0.0,None,None,None
20000,1.4833673,0.032970417,0.06681673,1.7334814,0.00029485783,0.0,0.3750001759326551,993.0,0.3750002169981599
25000,1.203394,0.011711782,0.07793674,1.7087198,0.000293377,0.0,-0.8749999145802576,993.0,-0.8750000316649675
30000,0.94466656,0.007085977,0.07234236,1.7031555,0.00029187332,0.0,None,None,None
35000,0.7148262,0.003332528,0.07444534,1.7001926,0.0002903602,0.0,-0.7499999129795469,993.0,-0.7499999813735485
40000,0.53690463,0.0042885067,0.06758803,1.6940253,0.0002888794,0.0,-0.7499999204301275,993.0,-0.7142857110926083
45000,0.4171881,0.0041164383,0.06311919,1.6864918,0.0002873757,0.0,None,None,-1.0000000521540642
50000,0.3199495,0.0019424206,0.07150695,1.6782713,0.00028586262,0.0,-0.4999998874263838,993.0,-0.49999992549419403
55000,0.21432607,0.0029836681,0.07506514,1.6873734,0.00028435892,0.0,None,None,None
60000,0.16347632,0.0040368233,0.066672444,1.6998745,0.0002828458,0.0,-0.7499999129795469,993.0,-0.7499999962747097
65000,0.11039068,0.002716493,0.07770991,1.6980524,0.00028136504,0.0,-0.4999999172287062,993.0,-0.4999999701976776
70000,-0.0018920896,0.008839906,0.06779827,1.6605924,0.00027986133,0.0,None,None,None
75000,0.049865477,0.006728756,0.076417565,1.5955439,0.00027834822,0.0,-0.12499989007483236,993.0,-0.1249998677521944
80000,-0.051117837,0.0034821464,0.07236853,1.5395393,0.00027686745,0.0,-0.24999985442264006,993.0,-0.2857141782130514
85000,0.00931284,0.0049963505,0.07077585,1.4884009,0.00027536374,0.0,None,None,2.3096799850463867e-07
90000,-0.03193686,0.011823021,0.07056357,1.5009308,0.00027385063,0.0,-0.12499989007483236,993.0,-0.12499988730996847
95000,-0.0262837,0.00717585,0.06240405,1.4823097,0.0002723469,0.0,None,None,None
100000,0.032211952,0.006089754,0.07335025,1.440612,0.0002708338,0.0,0.25000015198020265,993.0,0.2500001136213541
105000,-0.03260343,0.017496731,0.06769702,1.3630109,0.00026935304,0.0,1.0000001839362085,993.0,1.0000002095475793
110000,0.034663685,0.043887485,0.061166696,1.4217033,0.00026784933,0.0,None,None,None
115000,0.100039445,0.011592748,0.06869804,1.3741856,0.0002663362,1.0,1.5000001796870492,993.0,1.500000319443643
120000,0.11220852,0.009902976,0.068087816,1.3680265,0.00026485647,1.0,0.37600016841315664,992.0,0.5010001758734385
125000,0.08685846,0.02452985,0.06353931,1.3303968,0.0002633541,1.0,None,None,0.0010001063346862793
130000,0.25066626,0.024752524,0.06654313,1.3814379,0.00026179614,1.0,2.6591503257513978,959.0,2.659150474704802
135000,0.33334726,0.028350662,0.07433434,1.4468654,0.00026033644,1.0,1.0010001540649682,992.0,1.0010002106428146
140000,0.3557039,0.029742787,0.06635115,1.4889158,0.0002588251,1.0,2.2857145329471678,993.0,2.285714740199702
145000,0.2916157,0.019182656,0.07585929,1.4398109,0.00025734422,1.0,3.7500003458117135,993.0,3.7500007692724466
150000,0.28392678,0.040666018,0.07619006,1.4696692,0.00025583874,1.0,5.0000002649612725,993.0,5.000000596046448
155000,0.2471375,0.028911259,0.070263825,1.3781272,0.00025432775,1.0,3.714286056446976,993.0,3.7142865168196812
160000,0.32280636,0.025283433,0.06933083,1.3885684,0.00025284663,1.0,3.250000369211193,993.0,3.3333341578642526
165000,0.50540316,0.053751595,0.070289016,1.318373,0.00025129638,1.0,7.5077337943948805,488.3333333333333,5.704640945792198
170000,0.45198384,0.039126612,0.06707655,1.3138884,0.0002497299,1.0,4.99420037434902,833.1666666666666,4.994200772295396
175000,0.48592368,0.032073997,0.06481567,1.2577437,0.0002482971,1.0,3.0010003386220583,992.0,3.001000781853994
180000,0.55173224,0.03786457,0.07560336,1.197144,0.000246738,1.0,5.101625405368395,891.75,5.101625861600041
185000,0.5335207,0.031366143,0.06870762,1.2650554,0.00024524197,1.0,4.795067018984507,865.1666666666666,5.553880767524243
190000,0.6151315,0.03617354,0.07023667,1.2598038,0.00024385772,2.0,5.2434671095494805,916.5,4.637400550501687
195000,0.7122436,0.050799035,0.07604657,1.2193961,0.0002420658,2.0,7.420100494637154,575.1666666666666,7.42010102669398
