Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,-0.66554725,0.08563139,0.063871816,1.7791716,0.00029787328,0.0,-2.499124885274796,992.125,-2.4991238238289952
15000,-0.47585693,0.07807353,0.059819743,1.7721173,0.00029637088,0.0,None,None,None
20000,-0.3794824,0.03126899,0.06517415,1.77736,0.00029485783,0.0,-2.2499999693245627,993.0,-2.249999361112714
25000,-0.29015058,0.046361893,0.070321776,1.7582866,0.000293377,0.0,-0.12499990122159943,993.0,-0.12499987985938787
30000,-0.24344613,0.043767657,0.06895667,1.7344803,0.00029187332,0.0,None,None,None
35000,-0.19236217,0.057077434,0.06711917,1.6917117,0.0002903602,0.0,-0.6249998857674655,993.0,-0.6249996302649379
40000,-0.14438438,0.01888116,0.06802027,1.659181,0.0002888794,0.0,-0.9999998884741217,993.0,-0.999999745615891
45000,-0.1893278,0.039687097,0.07829612,1.6323036,0.0002873757,0.0,None,None,-1.0000000521540642
50000,-0.14765716,0.029195815,0.06297413,1.6546998,0.00028586262,0.0,-0.9999998831190169,993.0,-0.9999995920807123
55000,-0.12497852,0.033036597,0.066140346,1.6559681,0.00028435892,0.0,None,None,None
60000,-0.119063,0.011212526,0.062284164,1.672868,0.0002828458,0.0,-0.4999998607672751,993.0,-0.4999996917322278
65000,-0.101109445,0.0037828337,0.07388381,1.68264,0.00028136504,0.0,-0.7499999129795469,993.0,-0.7500000987201929
70000,-0.056955222,0.0046544443,0.060908254,1.6116581,0.00027986133,0.0,None,None,None
75000,-0.03448272,0.07075442,0.069867805,1.5910037,0.00027834822,0.0,-0.8749999166757334,993.0,-0.8749998789280653
80000,-0.023371553,0.09329819,0.07274416,1.5915138,0.00027686745,0.0,-1.3749998649582267,993.0,-1.9999988887991225
85000,0.0024352665,0.080621555,0.06940244,1.6066068,0.00027536374,0.0,None,None,3.0000009015202522
90000,0.064794086,0.03647678,0.05819225,1.5643795,0.00027385063,0.0,1.0000001818407327,993.0,1.0000004060566425
95000,0.055428453,0.012610536,0.072141446,1.5053718,0.0002723469,0.0,None,None,None
100000,0.19656867,0.07671345,0.07760753,1.5225897,0.0002708338,0.0,-0.37499975055106916,993.0,-0.3749993275851011
105000,0.16762964,0.052586373,0.06560718,1.5081698,0.00026935304,0.0,1.6250002548040356,993.0,1.625000967644155
110000,0.19800487,0.10500157,0.06259711,1.5289239,0.00026784933,0.0,None,None,None
115000,0.15607198,0.04881098,0.07216491,1.57087,0.0002663362,0.0,1.3750002340530045,993.0,1.3750009080395103
120000,0.28626478,0.05603891,0.064511254,1.5032679,0.00026480274,1.0,5.592700496199541,899.5,5.592701017856598
125000,0.26777846,0.0614158,0.0675164,1.5139406,0.00026328964,1.0,None,None,None
130000,0.19463351,0.15113148,0.072534725,1.5213008,0.00026180415,1.0,1.3846003155049402,983.375,1.3846012484282255
135000,0.26998162,0.026219714,0.06856807,1.52528,0.00026023324,1.0,3.625125364458654,992.875,3.2002009481191633
140000,0.3830154,0.078419015,0.0757893,1.4703281,0.00025879472,1.0,None,None,4.333334110677242
145000,0.32975754,0.08137852,0.060942233,1.4567063,0.00025718633,1.0,2.3931503769708797,974.875,2.3931510355323553
150000,0.32695106,0.062818855,0.07234138,1.4921653,0.0002557517,1.0,5.194640572462231,799.2,5.194641354680061
155000,0.2953029,0.054967415,0.06851656,1.4679586,0.00025424248,1.0,3.149450292054098,844.5,3.1494506020098925
160000,0.36451265,0.07322247,0.070504144,1.4959848,0.0002527942,1.0,2.8663146320530877,983.7142857142857,2.866315258400781
165000,0.50839835,0.058225676,0.077800155,1.4837388,0.00025128626,1.0,5.501120485691354,892.2,5.501121088862419
170000,0.59688216,0.045001745,0.074033976,1.4508051,0.00024977204,1.0,5.504771942172998,775.4285714285714,5.504772636507239
175000,0.6772739,0.100353114,0.074496,1.4226918,0.00024823993,1.0,5.084143335797957,767.0,5.084144084581307
180000,0.69404376,0.13758501,0.06837362,1.4323199,0.00024674166,1.0,5.133840500703082,661.2,5.133841380476952
185000,0.6027687,0.15118486,0.0788543,1.4641104,0.00024533845,1.0,2.5016288517508656,778.0,2.501630018864359
190000,0.65296805,0.077453844,0.06707723,1.4383464,0.00024378079,1.0,6.0649255001335405,679.875,6.064926175400615
195000,0.8211374,0.095886275,0.06743117,1.4380386,0.00024226397,2.0,3.8590003882418387,636.25,3.8590018320828676
200000,0.8116744,0.17651564,0.057909183,1.4358305,0.00024076975,2.0,4.060733706573956,766.8333333333334,4.060734781126182
205000,0.8250182,0.0730291,0.0661517,1.4464141,0.00023927788,2.0,5.422880459134467,672.1,5.179201306568252
210000,0.94814855,0.08193293,0.06593028,1.4138285,0.00023769897,2.0,7.003644889660387,547.3333333333334,7.064881007373333
215000,0.8589478,0.07146112,0.061755918,1.4079273,0.00023621367,2.0,6.2921754932031035,702.125,6.603601070387023
220000,0.8927476,0.09180522,0.0780573,1.3764828,0.00023473396,2.0,6.253650489379652,492.625,6.0157124433252545
225000,0.79036045,0.05873209,0.068960555,1.398377,0.00023318821,2.0,6.20992041178979,784.2,6.209920962154865
230000,0.87715113,0.13609615,0.07064295,1.3825994,0.00023176706,2.0,5.820620492240414,574.9,5.820621140301228
235000,0.97431093,0.07585961,0.06386484,1.3822942,0.00023030378,2.0,6.812925405451097,557.625,6.812926026061177
240000,1.0580924,0.09001382,0.06767017,1.3394169,0.00022871852,2.0,7.328383756665668,500.8333333333333,7.328384389479955
245000,1.1894958,0.08847591,0.07320496,1.276401,0.00022706274,3.0,6.901150425022934,470.25,6.901150723919272
250000,1.1255769,0.070109345,0.067441426,1.2871345,0.00022576236,3.0,7.016500470391475,479.7,7.01650110334158
255000,1.1663245,0.11660762,0.07651098,1.1948578,0.00022427432,3.0,6.993180509121157,502.7,6.993180826306343
260000,1.0762079,0.21411711,0.07022859,1.2204888,0.00022272943,3.0,5.959927748232572,490.6363636363636,5.959928420456973
265000,1.1032238,0.10699335,0.064846426,1.2371668,0.00022125478,3.0,6.212378232532905,450.77777777777777,6.212379097938538
270000,1.0264933,0.12964056,0.077562645,1.2410904,0.00021971058,3.0,5.518909514543008,567.5454545454545,5.518910332159563
275000,1.131587,0.09949294,0.069843255,1.1444945,0.00021830441,3.0,6.991982390320945,458.90909090909093,6.991982943632386
280000,1.0679857,0.22953568,0.05953794,1.1482381,0.00021671144,4.0,5.155836822316897,476.6363636363636,5.155837438323281
285000,1.1515952,0.1017286,0.066472515,1.2195,0.00021496718,4.0,7.536000485648401,460.5,7.536001015454531
290000,1.0015585,0.07569729,0.07138483,1.2227824,0.00021378731,4.0,5.350822649249393,644.3333333333334,5.350823673937056
